age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,35,39,세,M,순발력,041,성인체공시간,초,0,ok,5272,5272,ecdf,1,0.4124,0.514,0.551,0.581,0.659,0.001,0.999,14.76,40.0,60.0,82.77,93.92,58.21
성인,35,39,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,5524,5524,ecdf,0,-8.2,10.1,14.5,18.9,28.3,-20.0,35.5,12.7,36.53,65.37,85.74,94.99,59.63
성인,35,39,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,5519,5519,ecdf,0,0.0,19.0,25.0,31.0,50.0,0.0,62.0,13.45,40.0,66.45,86.36,95.52,60.05
성인,35,39,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1075,1075,ecdf,0,0.0,15.0,20.0,25.0,44.52,0.0,74.0,11.4,26.88,53.19,82.95,93.67,53.8
성인,35,39,세,F,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,1075,0,,,,,,,,8.0,33.1,,,,,,
성인,35,39,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,2829,2829,ecdf,1,96.0,135.0,144.0,155.0,193.0,0.0,218.0,15.05,40.0,72.45,88.85,96.14,63.48
성인,35,39,세,F,근력,028,상대악력,%,0,ok,5961,5961,ecdf,0,28.92,38.7,43.1,47.5,66.2,6.2,141.3,22.26,51.39,78.85,90.28,96.64,68.44
성인,35,39,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1170,1170,ecdf,0,27.438,30.5,32.3,34.2,42.7,20.1,53.5,46.0,73.75,86.16,93.42,97.79,78.66
성인,35,39,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,3705,3705,ecdf,0,25.4,30.5,32.3,34.2,40.892,11.8,46.4,34.27,64.42,83.86,92.19,97.31,74.37
성인,35,39,세,F,민첩성,040,반응시간,초,1,ok,4419,4419,ecdf,1,-0.5686,-0.424,-0.388,-0.348,-0.283,0.176,1.999,14.08,40.0,62.42,79.57,92.95,57.93
성인,35,39,세,F,순발력,041,성인체공시간,초,0,ok,2662,2662,ecdf,1,0.3204,0.402,0.425,0.453,0.5238,0.001,0.652,13.63,40.0,64.9,83.12,94.07,59.59
성인,40,44,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,12218,12218,ecdf,0,-14.2,4.8,9.5,14.2,23.866,-23.0,48.0,12.51,35.78,62.24,83.63,94.39,58.07
성인,40,44,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,12222,12222,ecdf,0,4.0,32.0,38.0,44.0,59.0,0.0,94.0,12.81,40.0,62.99,86.03,94.57,59.37
성인,40,44,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,3246,3246,ecdf,0,1.0,27.0,35.0,42.0,66.0,0.0,100.0,12.6,34.71,60.0,84.72,94.78,57.96
성인,40,44,세,M,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,3003,0,,,,,,,,8.4,34.69,,,,,,
성인,40,44,세,M,순발력,022,제자리멀리뛰기,cm,0,anchors_not_monotonic,7902,0,,,,,,,,0.0,283.0,,,,,,
성인,40,44,세,M,근력,028,상대악력,%,0,ok,12624,12624,ecdf,0,40.9,51.6,57.2,62.8,81.1,0.0,116.3,24.68,51.22,75.14,89.1,96.23,67.63
성인,40,44,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1428,1428,ecdf,0,29.954,36.6,38.8,40.9,48.8,14.4,63.4,19.59,47.57,73.99,88.96,96.34,66.0
성인,40,44,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,7937,7937,ecdf,0,32.3,36.6,38.8,40.9,47.6,22.6,53.2,24.51,52.25,76.9,89.64,96.4,68.45
성인,40,44,세,M,민첩성,040,반응시간,초,1,ok,9214,9214,ecdf,1,-0.473,-0.374,-0.346,-0.32,-0.26,0.172,1.535,14.02,40.0,62.44,82.99,94.15,58.65
성인,40,44,세,M,순발력,041,성인체공시간,초,0,ok,4309,4309,ecdf,1,0.4,0.506,0.521,0.547,0.647,0.001,0.998,13.71,40.0,77.58,89.99,96.55,65.27
성인,40,44,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,6497,6497,ecdf,0,-8.608,10.4,14.6,18.8,27.9,-20.0,36.0,11.66,33.77,62.92,84.98,94.75,58.07
성인,40,44,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,6491,6491,ecdf,0,0.0,19.0,25.0,30.0,46.0,0.0,62.0,12.27,35.74,60.0,84.71,94.72,57.35
성인,40,44,세,F,심폐지구력,020,왕복오래달리기,회,0,ok,1311,1311,ecdf,0,0.0,15.0,20.0,24.0,45.0,0.0,86.0,8.71,27.33,49.62,80.0,91.46,49.85
성인,40,44,세,F,민첩성,021,10m4회왕복달리기,초,1,ok,1251,1251,ecdf,1,-17.5,-14.2,-14.0,-13.1,-11.4,10.59,45.9,13.89,40.0,75.42,88.64,96.03,65.06
성인,40,44,세,F,순발력,022,제자리멀리뛰기,cm,0,ok,3493,3493,ecdf,1,94.84,132.0,142.0,153.0,187.0,0.0,238.0,14.15,40.0,69.73,87.85,96.06,62.4
성인,40,44,세,F,근력,028,상대악력,%,0,ok,7118,7118,ecdf,0,29.1,38.5,42.8,47.1,65.7,0.0,106.9,23.9,53.16,80.37,90.58,96.81,69.43
성인,40,44,세,F,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1312,1312,ecdf,0,26.4,30.3,32.0,33.8,42.878,22.8,54.5,42.75,71.33,85.85,93.23,97.74,77.62
성인,40,44,세,F,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,4480,4480,ecdf,0,25.058,30.3,32.0,33.8,40.1,14.4,45.0,24.39,56.89,81.87,91.29,97.03,71.02
성인,40,44,세,F,민첩성,040,반응시간,초,1,ok,5220,5220,ecdf,1,-0.5632,-0.428,-0.382,-0.345,-0.283,0.218,1.999,14.05,40.0,57.31,77.04,91.73,55.78
성인,40,44,세,F,순발력,041,성인체공시간,초,0,ok,2967,2967,ecdf,1,0.3123,0.39,0.417,0.442,0.504,0.001,0.651,14.3,40.0,62.95,83.87,95.04,59.29
성인,45,49,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,10618,10618,ecdf,0,-14.4,4.6,9.1,13.6,23.6,-30.0,47.0,12.44,35.92,63.49,84.25,94.53,58.58
성인,45,49,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,10611,10611,ecdf,0,4.0,30.0,36.0,41.0,57.0,0.0,74.0,14.52,40.0,63.8,85.2,95.03,59.9
성인,45,49,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,2945,2945,ecdf,0,0.0,24.0,32.0,40.0,66.0,0.0,117.0,13.49,40.0,60.0,82.87,93.91,57.36
성인,45,49,세,M,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,2478,0,,,,,,,,9.01,60.0,,,,,,
성인,45,49,세,M,순발력,022,제자리멀리뛰기,cm,0,anchors_not_monotonic,6946,0,,,,,,,,0.0,276.0,,,,,,
성인,45,49,세,M,근력,028,상대악력,%,0,ok,11016,11016,ecdf,0,40.93,51.4,56.7,62.0,80.47,0.0,108.4,23.48,50.46,75.05,89.2,96.26,67.32
성인,45,49,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,1243,1243,ecdf,0,31.384,36.0,38.1,40.1,47.6,24.2,57.3,18.72,46.97,74.27,89.47,96.3,65.71
성인,45,49,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,6818,6818,ecdf,0,31.6,36.0,38.1,40.1,46.8,18.9,51.5,22.28,50.93,75.97,89.67,96.4,67.59
